"Slug","Title","Video Url","Image","Image:alt","Content","Designer","URL","Year"
"number-0","Number ""0""","https://files.epyc.in/videos/0-Post.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/Cr_ZVG1h03y/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"number-1","Number ""1"" ","https://files.epyc.in/videos/1-Post.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CsBv6uJvlbq/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"number-2","Number ""2""","https://files.epyc.in/videos/2-Post.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CsEYrrjPtFh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"number-3","Number ""3""","https://files.epyc.in/videos/3-Post.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CsG8w9qPDwa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"number-4","Number ""4""","https://files.epyc.in/videos/4-Post.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CsMEIjqPdV3/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"number-5","Number ""5""","https://files.epyc.in/videos/5-Post.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CsO0GvoPPBt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"number-6","Number ""6""","https://files.epyc.in/videos/6-Post.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CsTxz11vcio/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"number-7","Number ""7""","https://files.epyc.in/videos/7-Post.mp4","","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CsWfAbPPlTO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"number-8","Number ""8""","https://files.epyc.in/videos/8-Post.mp4","assets/Ud7StjDxtzCGr7vvWmv4KzQ6Y.png","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/CsZDteMNGqW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"number-9","Number ""9""","https://files.epyc.in/videos/9-Post.mp4","assets/xf9RVuP3kiWq4AiOSXFAI6D3w.png","","<p dir=""auto"">Using the incredible combination of Cinema 4D and Redshift by Maxon, with textures by Greyscalegorilla, we've brought this letter to life in a fun and dynamic way for 36 days of type. 🎥🎨💻</p>","Abhishek Aravind","https://www.instagram.com/p/Csba4YTvNgT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==",""
"podcast","Podcast","","assets/bKpwOHYbcnLHaOefoTRvF9Ng6o4.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"question-sign","Question Sign","","assets/LBzBqCCwobgvWph20I118gQMus4.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"reception-scene","Reception Scene","","assets/PRjDB8UsXlSFQJuH9pMtRAzLhhA.png","","<p dir=""auto""><br></p>","EPYC","",""
"hallway","Royal Hallway","","assets/ec9TdJQhERvMsamL3kuvmDWx3Tw.png","","<p dir=""auto""><br></p>","EPYC","",""
"speed","Speed","","assets/nBNVO0nfb38xD4BcFB01KFztjEc.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"suitcase","Suitcase","","assets/K1dwAuslvjPIVUKFObV1yWttw4g.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
"team","Team","","assets/9mDlYLtKG9g9WfLMRG3QGw8cdc.png","","<p dir=""auto""><br></p>","Abhishek Aravind","",""
