"Slug","Title","Thumbnail","Thumbnail:alt","Type","Project Industry","Project Platform","Redirect Link","Featured Project?"
"elevation-capital-bottomline","Elevation Capital - Bottomline","assets/PH6XgIwL6xWG2FstaYGRWMtAu4.webp","","WEBFLOW, UI/UX, INTERACTIONS","vc","website","https://bottomline.elevationcapital.com/","No"
"perpetual-capital","Perpetual Capital","assets/FPSaYcPv1Sn5yOfMsWxmStKpHME.webp","","FRAMER, UI/UX, INTERACTIONS","vc","website","https://www.perpetualcapital.co.in/","No"
"nexocean","Nexocean","assets/3x6y9giGyXUdEQim33l6d53LfIE.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.nexocean.com/","No"
"andromeda-security","Andromeda Security","assets/htqwAXuunVVvKXTL6R3SmxWqO1o.webp","","WEBFLOW, INTERACTIONS","vc","website","https://www.andromedasecurity.com/","No"
"cxo-axis","CXO Axis","assets/OwcDPMx3FsABaJBaaWaPUpj1MAE.webp","","WEBFLOW, UI-UX, INTERACTIONS","community-initiative","website","https://cxoaxis.com/","No"
"pesto-tech","Pesto Tech","assets/0mxgXnJFbu1nhjUvkJG0oELY.png","","WEBFLOW, 3D, UI-UX, INTERACTIONS","edtech","website","https://pesto-tech.webflow.io/","No"
"prashant-prakash-foundation","Prashant Prakash Foundation","assets/Amz7vU69D80aaFdfPD2Mczr5Hxk.png","","FRAMER, UI-UX, INTERACTIONS","ngo","website","https://prashanthprakashfamilyfoundation.org/","No"
"dallas-vc","Dallas VC","assets/t4yIQxGXnmo0120upr0eGMxk.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://dallasvc.com/","No"
"recur-club","Recur Club","assets/GKkwlQMS1FXuHjWPYkUNO5qY0.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.recurclub.com/","No"
"enterpret","Enterpret","assets/qy6rwWO7z5J7WJzeBXAUUkkbiU.webp","","WEBFLOW, INTERACTIONS","other","website","https://www.enterpret.com/","No"
"agnit-semi","Agnit Semi","assets/xt7JqPhg1I5Bbod5DGoEvUHi8.webp","","FRAMER, INTERACTIONS","other","website","https://www.agnitsemi.com/","No"
"partnership-leaders","Partnership Leaders","assets/jdWdSDD0Cjsbm9xQv7wKN5odHT4.webp","","WORDPRESS, UI-UX, INTERACTIONS","community-initiative","website","https://partnershipleaders.com/","No"
"big-bang-social","Big Bang Social","assets/i5rEXbmLoaMPrmJTItpqJnCfds.webp","","WEBFLOW, INTERACTIONS","other","website","https://bigbang.social/","No"
"plumage-tech","Plumage Tech","assets/8rk2FySKgfZH0ifKxyngKCij9k.webp","","FRAMER, UI-UX, INTERACTIONS","finance","website","https://plumagetech.com/","No"
"paddle","Paddle","assets/t4XLjHlfIdAIlTViA3rg90HHWE.png","","SHOPIFY, UI-UX","e‑commerce","website","https://www.racketfits.com/","No"
"prescient","Prescient","assets/pqSTbXMx2XmQtywugl0Rs86H6A.png","","WORDPRESS, UI-UX, INTERACTIONS","healthcare","website","https://prescienthg.com/","No"
"numans","Numans","assets/lMTaD0v89O6RZEaoCZBKr1QCYk.webp","","WEBFLOW, INTERACTIONS","saas","website","numanshq.com","No"
"accel-cybersecurity-summit-2025","Accel Cybersecurity Summit 2025","assets/TLG5i5S3ceypu5MpfHaSY5Gdj4.webp","","WEBFLOW, INTERACTIONS","saas","website","https://events-in.accel.com/cybersecurity-summit-2025","No"
"avataar-vc","Avataar VC","assets/RdXABAFitUWn7cQP1uOFN2uG5uo.webp","","WEBFLOW, INTERACTIONS","vc","website","https://www.avataar.vc/","No"
"elevation-capital-wiww","Elevation Capital - WiWW","assets/8G6LZ1mV2tNHoodbqxIdoxSF4.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://consumeropportunity.elevationcapital.com/","No"
"endiya-partners","Endiya Partners","assets/voOt6Ddir0ae8dyWx70vEdHVRmA.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.endiya.com/","No"
"exfinity-ventures","Exfinity Ventures","assets/69GBQxdLXeC4RiS9yQYOhfvcyU.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.exfinityventures.com/","No"
"logix-guru","Logix Guru","assets/6vf9b2NErW3BGAjtL0euYUwdk.webp","","WEBFLOW, UI-UX, INTERACTIONS","other","website","https://www.logixguru.com/","No"
"stride-ventures","Stride Ventures","assets/9rwyhEeUruMLcCHEkZWvVS71vWY.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.strideventures.global/","No"
"meraki-labs","Meraki Labs","assets/5ca3XthUA3NcsWWbMSVzCCN7tY.png","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://merakiv2.webflow.io/","No"
"tanglin-vp","Tanglin VP","assets/YIYsZLMPyFLuIAoBVm8K0abJDM.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","https://www.tanglinvp.com/","No"
"wootz-work","Wootz Work","assets/05Lkp77oB0mHqw8SgPfHUBL5RQ.webp","","WEBFLOW, UI-UX, INTERACTIONS","other","website","https://www.wootz.work/","No"
"3one4-capital","3one4 Capital","assets/viw5mHpboD8ksxG2OLiQihJV92Q.webp","","WEBFLOW, UI-UX, INTERACTIONS","vc","website","3one4capital.com","No"
"boldcap","Boldcap","assets/YF1EHiTCBSGg4xQw6uAhgNYpOOc.webp","","WEBFLOW, INTERACTIONS","saas","website","boldcap.com","No"
"breathewellbeing.in","Breathe Wellbeing","assets/sonUEyHdlXLfrHqyaI8w35SAB0o.webp","","WEBFLOW, INTERACTIONS","saas","website","https://www.breathewellbeing.in/","No"
"buildl-together","Buildl Together","assets/qIuL9WbRIo6G1u3QSZnQzlHtRA.webp","","WEBFLOW, INTERACTIONS","saas","website","build.together.fund","No"
